"Id","DiffId","Language","ProjId","ProjName","CommitSha","CommitMessage","FileName","FileLengthBefore","FileLengthAfter","nEdits","nDeletes","nInserts","EditScript","nCopies","nMoves","nUpdates","nCUpdates","nMUpdates","nSplits","nMerges","RunTime"
"1","2008","Python","1","ansible","01e5da6d0be9b818f0ae5582b139d886ead09544",,"scripts.py",,,"2","0","2","[{'mode': 'insert', 'dest_line': 29, 'edit_action': 'Insert line 29.'}, {'mode': 'insert', 'dest_line': 30, 'edit_action': 'Insert line 30.'}]","0","0","0","0","0","0","0","13.9914"
"2",,"Python","1","ansible","0321afb1e3c1802eb12f7107f68d3b6a00ea2cf2",,"scripts.py",,,"14","7","7","[{'mode': 'delete', 'src_line': 21, 'edit_action': 'Delete line 21.'}, {'mode': 'insert', 'dest_line': 21, 'edit_action': 'Insert line 21.'}, {'mode': 'delete', 'src_line': 33, 'edit_action': 'Delete line 33.'}, {'mode': 'insert', 'dest_line': 33, 'edit_action': 'Insert line 33.'}, {'mode': 'delete', 'src_line': 34, 'edit_action': 'Delete line 34.'}, {'mode': 'insert', 'dest_line': 34, 'edit_action': 'Insert line 34.'}, {'mode': 'delete', 'src_line': 35, 'edit_action': 'Delete line 35.'}, {'mode': 'insert', 'dest_line': 35, 'edit_action': 'Insert line 35.'}, {'mode': 'delete', 'src_line': 36, 'edit_action': 'Delete line 36.'}, {'mode': 'insert', 'dest_line': 36, 'edit_action': 'Insert line 36.'}, {'mode': 'delete', 'src_line': 37, 'edit_action': 'Delete line 37.'}, {'mode': 'insert', 'dest_line': 37, 'edit_action': 'Insert line 37.'}, {'mode': 'delete', 'src_line': 45, 'edit_action': 'Delete line 45.'}, {'mode': 'insert', 'dest_line': 45, 'edit_action': 'Insert line 45.'}]","0","0","0","0","0","0","0","53.8993"
"3","2010","Python","1","ansible","0321afb1e3c1802eb12f7107f68d3b6a00ea2cf2",,"setup.py",,,"1","0","1","[{'mode': 'insert', 'dest_line': 33, 'edit_action': 'Insert line 33.'}]","0","0","0","0","0","0","0","9.32401"
"4","2011","Python","1","ansible","035692563924d57fa537a84e294999d8e07cb105",,"setup.py",,,"2","0","1","[{'mode': 'update', 'src_line': 37, 'dest_line': 37, 'indent_offset': 0, 'str_diff': [[[14, 24]], [[14, 28]]], 'edit_action': 'Update line 37 to line 37.'}, {'mode': 'insert', 'dest_line': 38, 'edit_action': 'Insert line 38.'}]","0","0","1","0","0","0","0","19.5062"
"5","2012","Python","1","ansible","08b45d6da1d546fa64db076da58c56ea496685ae",,"__init__.py",,,"5","0","3","[{'mode': 'insert', 'dest_line': 40, 'edit_action': 'Insert line 40.'}, {'mode': 'insert', 'dest_line': 58, 'edit_action': 'Insert line 58.'}, {'mode': 'insert', 'dest_line': 74, 'edit_action': 'Insert line 74.'}, {'mode': 'update', 'src_line': 99, 'dest_line': 100, 'indent_offset': 0, 'str_diff': [[[0, 52]], [[0, 59]]], 'edit_action': 'Update line 99 to line 100.'}, {'mode': 'update', 'src_line': 100, 'dest_line': 101, 'indent_offset': 0, 'str_diff': [[[0, 44]], [[0, 55]]], 'edit_action': 'Update line 100 to line 101.'}]","0","0","2","0","0","0","0","39.5992"
"6","2013","Python","1","ansible","0d7a84d591b01c6afdda80424c3a42e5431dc882",,"playbook.py",,,"9","0","5","[{'mode': 'insert', 'dest_line': 19, 'edit_action': 'Insert line 19.'}, {'mode': 'insert', 'dest_line': 64, 'edit_action': 'Insert line 64.'}, {'mode': 'insert', 'dest_line': 65, 'edit_action': 'Insert line 65.'}, {'mode': 'insert', 'dest_line': 66, 'edit_action': 'Insert line 66.'}, {'mode': 'insert', 'dest_line': 67, 'edit_action': 'Insert line 67.'}, {'mode': 'merge', 'src_line': 86, 'dest_line': 86, 'block_length': 5, 'edit_action': 'Merge lines 86-90 to line 86.'}, {'mode': 'update', 'src_line': 95, 'dest_line': 95, 'indent_offset': 0, 'str_diff': [[[11, 34]], [[11, 36]]], 'edit_action': 'Update line 95 to line 95.'}, {'mode': 'update', 'src_line': 101, 'dest_line': 101, 'indent_offset': 0, 'str_diff': [[[12, 47]], [[12, 63]]], 'edit_action': 'Update line 101 to line 101.'}, {'mode': 'update', 'src_line': 170, 'dest_line': 170, 'indent_offset': 0, 'str_diff': [[[11, 41]], [[11, 49]]], 'edit_action': 'Update line 170 to line 170.'}]","0","0","3","0","0","0","1","145.182"
"7","2014","Python","1","ansible","0d7a84d591b01c6afdda80424c3a42e5431dc882",,"utils.py",,,"34","14","20","[{'mode': 'delete', 'src_line': 39, 'edit_action': 'Delete line 39.'}, {'mode': 'delete', 'src_line': 40, 'edit_action': 'Delete line 40.'}, {'mode': 'delete', 'src_line': 41, 'edit_action': 'Delete line 41.'}, {'mode': 'delete', 'src_line': 42, 'edit_action': 'Delete line 42.'}, {'mode': 'delete', 'src_line': 43, 'edit_action': 'Delete line 43.'}, {'mode': 'delete', 'src_line': 44, 'edit_action': 'Delete line 44.'}, {'mode': 'delete', 'src_line': 45, 'edit_action': 'Delete line 45.'}, {'mode': 'delete', 'src_line': 46, 'edit_action': 'Delete line 46.'}, {'mode': 'delete', 'src_line': 47, 'edit_action': 'Delete line 47.'}, {'mode': 'delete', 'src_line': 48, 'edit_action': 'Delete line 48.'}, {'mode': 'delete', 'src_line': 49, 'edit_action': 'Delete line 49.'}, {'mode': 'delete', 'src_line': 50, 'edit_action': 'Delete line 50.'}, {'mode': 'delete', 'src_line': 51, 'edit_action': 'Delete line 51.'}, {'mode': 'delete', 'src_line': 52, 'edit_action': 'Delete line 52.'}, {'mode': 'insert', 'dest_line': 39, 'edit_action': 'Insert line 39.'}, {'mode': 'insert', 'dest_line': 40, 'edit_action': 'Insert line 40.'}, {'mode': 'insert', 'dest_line': 41, 'edit_action': 'Insert line 41.'}, {'mode': 'insert', 'dest_line': 42, 'edit_action': 'Insert line 42.'}, {'mode': 'insert', 'dest_line': 43, 'edit_action': 'Insert line 43.'}, {'mode': 'insert', 'dest_line': 44, 'edit_action': 'Insert line 44.'}, {'mode': 'insert', 'dest_line': 45, 'edit_action': 'Insert line 45.'}, {'mode': 'insert', 'dest_line': 46, 'edit_action': 'Insert line 46.'}, {'mode': 'insert', 'dest_line': 47, 'edit_action': 'Insert line 47.'}, {'mode': 'insert', 'dest_line': 48, 'edit_action': 'Insert line 48.'}, {'mode': 'insert', 'dest_line': 49, 'edit_action': 'Insert line 49.'}, {'mode': 'insert', 'dest_line': 50, 'edit_action': 'Insert line 50.'}, {'mode': 'insert', 'dest_line': 51, 'edit_action': 'Insert line 51.'}, {'mode': 'insert', 'dest_line': 52, 'edit_action': 'Insert line 52.'}, {'mode': 'insert', 'dest_line': 53, 'edit_action': 'Insert line 53.'}, {'mode': 'insert', 'dest_line': 54, 'edit_action': 'Insert line 54.'}, {'mode': 'insert', 'dest_line': 55, 'edit_action': 'Insert line 55.'}, {'mode': 'insert', 'dest_line': 56, 'edit_action': 'Insert line 56.'}, {'mode': 'insert', 'dest_line': 57, 'edit_action': 'Insert line 57.'}, {'mode': 'insert', 'dest_line': 58, 'edit_action': 'Insert line 58.'}]","0","0","0","0","0","0","0","50.1459"
"8","2015","Python","1","ansible","11f79300385b40cc19106837a75dc412e9693857",,"__init__.py",,,"2","2","0","[{'mode': 'delete', 'src_line': 24, 'edit_action': 'Delete line 24.'}, {'mode': 'delete', 'src_line': 28, 'edit_action': 'Delete line 28.'}]","0","0","0","0","0","0","0","25.2861"
"9","2016","Python","1","ansible","145a024d7b4729b361aeb54d178081e3f087bdc3",,"__init__.py",,,"72","56","16","[{'mode': 'delete', 'src_line': 1, 'edit_action': 'Delete line 1.'}, {'mode': 'delete', 'src_line': 2, 'edit_action': 'Delete line 2.'}, {'mode': 'delete', 'src_line': 38, 'edit_action': 'Delete line 38.'}, {'mode': 'delete', 'src_line': 39, 'edit_action': 'Delete line 39.'}, {'mode': 'delete', 'src_line': 40, 'edit_action': 'Delete line 40.'}, {'mode': 'delete', 'src_line': 41, 'edit_action': 'Delete line 41.'}, {'mode': 'delete', 'src_line': 42, 'edit_action': 'Delete line 42.'}, {'mode': 'delete', 'src_line': 43, 'edit_action': 'Delete line 43.'}, {'mode': 'delete', 'src_line': 44, 'edit_action': 'Delete line 44.'}, {'mode': 'delete', 'src_line': 45, 'edit_action': 'Delete line 45.'}, {'mode': 'delete', 'src_line': 46, 'edit_action': 'Delete line 46.'}, {'mode': 'delete', 'src_line': 47, 'edit_action': 'Delete line 47.'}, {'mode': 'delete', 'src_line': 48, 'edit_action': 'Delete line 48.'}, {'mode': 'delete', 'src_line': 49, 'edit_action': 'Delete line 49.'}, {'mode': 'delete', 'src_line': 50, 'edit_action': 'Delete line 50.'}, {'mode': 'delete', 'src_line': 51, 'edit_action': 'Delete line 51.'}, {'mode': 'delete', 'src_line': 52, 'edit_action': 'Delete line 52.'}, {'mode': 'delete', 'src_line': 53, 'edit_action': 'Delete line 53.'}, {'mode': 'delete', 'src_line': 54, 'edit_action': 'Delete line 54.'}, {'mode': 'delete', 'src_line': 55, 'edit_action': 'Delete line 55.'}, {'mode': 'delete', 'src_line': 56, 'edit_action': 'Delete line 56.'}, {'mode': 'delete', 'src_line': 57, 'edit_action': 'Delete line 57.'}, {'mode': 'delete', 'src_line': 58, 'edit_action': 'Delete line 58.'}, {'mode': 'delete', 'src_line': 59, 'edit_action': 'Delete line 59.'}, {'mode': 'delete', 'src_line': 60, 'edit_action': 'Delete line 60.'}, {'mode': 'delete', 'src_line': 61, 'edit_action': 'Delete line 61.'}, {'mode': 'delete', 'src_line': 62, 'edit_action': 'Delete line 62.'}, {'mode': 'delete', 'src_line': 63, 'edit_action': 'Delete line 63.'}, {'mode': 'delete', 'src_line': 64, 'edit_action': 'Delete line 64.'}, {'mode': 'delete', 'src_line': 65, 'edit_action': 'Delete line 65.'}, {'mode': 'delete', 'src_line': 66, 'edit_action': 'Delete line 66.'}, {'mode': 'delete', 'src_line': 67, 'edit_action': 'Delete line 67.'}, {'mode': 'delete', 'src_line': 68, 'edit_action': 'Delete line 68.'}, {'mode': 'delete', 'src_line': 69, 'edit_action': 'Delete line 69.'}, {'mode': 'delete', 'src_line': 70, 'edit_action': 'Delete line 70.'}, {'mode': 'delete', 'src_line': 71, 'edit_action': 'Delete line 71.'}, {'mode': 'delete', 'src_line': 72, 'edit_action': 'Delete line 72.'}, {'mode': 'delete', 'src_line': 73, 'edit_action': 'Delete line 73.'}, {'mode': 'delete', 'src_line': 145, 'edit_action': 'Delete line 145.'}, {'mode': 'delete', 'src_line': 146, 'edit_action': 'Delete line 146.'}, {'mode': 'delete', 'src_line': 147, 'edit_action': 'Delete line 147.'}, {'mode': 'delete', 'src_line': 148, 'edit_action': 'Delete line 148.'}, {'mode': 'delete', 'src_line': 149, 'edit_action': 'Delete line 149.'}, {'mode': 'delete', 'src_line': 150, 'edit_action': 'Delete line 150.'}, {'mode': 'delete', 'src_line': 151, 'edit_action': 'Delete line 151.'}, {'mode': 'delete', 'src_line': 152, 'edit_action': 'Delete line 152.'}, {'mode': 'delete', 'src_line': 153, 'edit_action': 'Delete line 153.'}, {'mode': 'delete', 'src_line': 154, 'edit_action': 'Delete line 154.'}, {'mode': 'delete', 'src_line': 155, 'edit_action': 'Delete line 155.'}, {'mode': 'delete', 'src_line': 156, 'edit_action': 'Delete line 156.'}, {'mode': 'delete', 'src_line': 157, 'edit_action': 'Delete line 157.'}, {'mode': 'delete', 'src_line': 158, 'edit_action': 'Delete line 158.'}, {'mode': 'delete', 'src_line': 159, 'edit_action': 'Delete line 159.'}, {'mode': 'delete', 'src_line': 160, 'edit_action': 'Delete line 160.'}, {'mode': 'delete', 'src_line': 161, 'edit_action': 'Delete line 161.'}, {'mode': 'delete', 'src_line': 162, 'edit_action': 'Delete line 162.'}, {'mode': 'insert', 'dest_line': 10, 'edit_action': 'Insert line 10.'}, {'mode': 'insert', 'dest_line': 11, 'edit_action': 'Insert line 11.'}, {'mode': 'insert', 'dest_line': 109, 'edit_action': 'Insert line 109.'}, {'mode': 'insert', 'dest_line': 110, 'edit_action': 'Insert line 110.'}, {'mode': 'insert', 'dest_line': 111, 'edit_action': 'Insert line 111.'}, {'mode': 'insert', 'dest_line': 112, 'edit_action': 'Insert line 112.'}, {'mode': 'insert', 'dest_line': 113, 'edit_action': 'Insert line 113.'}, {'mode': 'insert', 'dest_line': 114, 'edit_action': 'Insert line 114.'}, {'mode': 'insert', 'dest_line': 115, 'edit_action': 'Insert line 115.'}, {'mode': 'insert', 'dest_line': 116, 'edit_action': 'Insert line 116.'}, {'mode': 'insert', 'dest_line': 117, 'edit_action': 'Insert line 117.'}, {'mode': 'insert', 'dest_line': 118, 'edit_action': 'Insert line 118.'}, {'mode': 'insert', 'dest_line': 119, 'edit_action': 'Insert line 119.'}, {'mode': 'insert', 'dest_line': 120, 'edit_action': 'Insert line 120.'}, {'mode': 'insert', 'dest_line': 121, 'edit_action': 'Insert line 121.'}, {'mode': 'insert', 'dest_line': 122, 'edit_action': 'Insert line 122.'}]","0","0","0","0","0","0","0","52.2028"
"10","2017","Python","1","ansible","160470bc49cd47abe8ba42b04ee6bae8eb91d705",,"runner.py",,,"21","8","13","[{'mode': 'delete', 'src_line': 72, 'edit_action': 'Delete line 72.'}, {'mode': 'delete', 'src_line': 73, 'edit_action': 'Delete line 73.'}, {'mode': 'delete', 'src_line': 74, 'edit_action': 'Delete line 74.'}, {'mode': 'delete', 'src_line': 75, 'edit_action': 'Delete line 75.'}, {'mode': 'delete', 'src_line': 76, 'edit_action': 'Delete line 76.'}, {'mode': 'delete', 'src_line': 77, 'edit_action': 'Delete line 77.'}, {'mode': 'delete', 'src_line': 78, 'edit_action': 'Delete line 78.'}, {'mode': 'insert', 'dest_line': 72, 'edit_action': 'Insert line 72.'}, {'mode': 'insert', 'dest_line': 73, 'edit_action': 'Insert line 73.'}, {'mode': 'insert', 'dest_line': 74, 'edit_action': 'Insert line 74.'}, {'mode': 'insert', 'dest_line': 75, 'edit_action': 'Insert line 75.'}, {'mode': 'insert', 'dest_line': 76, 'edit_action': 'Insert line 76.'}, {'mode': 'insert', 'dest_line': 77, 'edit_action': 'Insert line 77.'}, {'mode': 'insert', 'dest_line': 78, 'edit_action': 'Insert line 78.'}, {'mode': 'insert', 'dest_line': 79, 'edit_action': 'Insert line 79.'}, {'mode': 'insert', 'dest_line': 80, 'edit_action': 'Insert line 80.'}, {'mode': 'insert', 'dest_line': 162, 'edit_action': 'Insert line 162.'}, {'mode': 'insert', 'dest_line': 163, 'edit_action': 'Insert line 163.'}, {'mode': 'insert', 'dest_line': 164, 'edit_action': 'Insert line 164.'}, {'mode': 'delete', 'src_line': 164, 'edit_action': 'Delete line 164.'}, {'mode': 'insert', 'dest_line': 165, 'edit_action': 'Insert line 165.'}]","0","0","0","0","0","0","0","56.4588"
