"Id","DiffId","ProjId","Language","ProjName","CommitSha","FileName","FileLengthBefore","FileLengthAfter","nEdits","nDeletes","nInserts","nMoves","nUpdates","EditScript","RunTime1","RunTime2","RunTime3","RunTime4","RunTime5","RunTime6","RunTime7","RunTime8","RunTime9","RunTime10","RunTime"
"1",,"11","Java","apache-commons-cli","04490af06faa8fd1be15da88172beb32218dd336","BugsTest.java","157","175","1","0","1","0","0","['<insert-tree tree=MethodDeclaration [841,1443] parent=TypeDeclaration [450,5514] at=10/>']","0.900785",,,,,,,,,,
"2","1010","11","Java","apache-commons-cli","04490af06faa8fd1be15da88172beb32218dd336","CommandLine.java","304","308","13","3","9","1","0","['<insert-node tree=VariableDeclarationStatement [9339,9365] parent=Block [9265,9709] at=1/>', '<insert-tree tree=IfStatement [9374,9443] parent=Block [9265,9709] at=2/>', '<insert-tree tree=SimpleType [9339,9345] parent=VariableDeclarationStatement [9339,9365] at=0/>', '<insert-node tree=VariableDeclarationFragment [9346,9364] parent=VariableDeclarationStatement [9339,9365] at=1/>', '<insert-node tree=SimpleName: key [9346,9349] parent=VariableDeclarationFragment [9346,9364] at=0/>', '<move-tree tree=MethodInvocation [9356,9368] parent=VariableDeclarationFragment [9346,9364] at=1/>', '<insert-node tree=SimpleName: key [9469,9472] parent=METHOD_INVOCATION_ARGUMENTS [9469,9472] at=0/>', '<insert-node tree=SimpleName: key [9598,9601] parent=METHOD_INVOCATION_ARGUMENTS [9598,9628] at=0/>', '<insert-node tree=SimpleName: key [9529,9532] parent=METHOD_INVOCATION_ARGUMENTS [9529,9532] at=0/>', '<insert-node tree=SimpleName: key [9674,9677] parent=METHOD_INVOCATION_ARGUMENTS [9674,9677] at=0/>', '<delete-tree tree=MethodInvocation [9425,9437]/>', '<delete-tree tree=MethodInvocation [9503,9515]/>', '<delete-tree tree=MethodInvocation [9588,9600]/>']","0.7947","0.82683","0.806057","0.796115","0.811858","0.922397","0.761892","0.761159","0.765904","0.763436","0.795407"
"3",,"11","Java","apache-commons-cli","04490af06faa8fd1be15da88172beb32218dd336","Option.java","470","546","70","23","27","7","13","['<move-tree tree=FieldDeclaration [4618,4702] parent=TypeDeclaration [3226,17266] at=5/>', '<move-tree tree=FieldDeclaration [4707,4753] parent=TypeDeclaration [3226,17266] at=6/>', '<insert-tree tree=FieldDeclaration [4619,4722] parent=TypeDeclaration [3226,17266] at=12/>', '<insert-node tree=FieldDeclaration [5126,5201] parent=TypeDeclaration [3226,17266] at=17/>', '<insert-tree tree=Javadoc [4026,4098] parent=FieldDeclaration [4026,4149] at=0/>', '<insert-tree tree=Javadoc [5126,5174] parent=FieldDeclaration [5126,5201] at=0/>', '<insert-node tree=Modifier: private [5179,5186] parent=FieldDeclaration [5126,5201] at=1/>', '<insert-node tree=PrimitiveType: char [5187,5191] parent=FieldDeclaration [5126,5201] at=2/>', '<move-tree tree=VariableDeclarationFragment [10761,10769] parent=FieldDeclaration [5126,5201] at=3/>', '<insert-tree tree=Javadoc [5207,5775] parent=MethodDeclaration [5207,6725] at=0/>', '<insert-tree tree=Javadoc [6731,6946] parent=MethodDeclaration [6731,7068] at=0/>', '<insert-tree tree=Javadoc [7074,7261] parent=MethodDeclaration [7074,7351] at=0/>', '<insert-tree tree=Javadoc [7357,7574] parent=MethodDeclaration [7357,7625] at=0/>', '<insert-tree tree=Javadoc [9872,9977] parent=MethodDeclaration [9872,10050] at=0/>', '<insert-tree tree=Javadoc [10281,10399] parent=MethodDeclaration [10281,10484] at=0/>', '<insert-tree tree=Javadoc [11950,12091] parent=MethodDeclaration [11950,12184] at=0/>', '<insert-tree tree=Javadoc [12705,12904] parent=MethodDeclaration [12705,12990] at=0/>', '<insert-tree tree=Javadoc [12997,13118] parent=MethodDeclaration [12997,13195] at=0/>', '<insert-tree tree=Javadoc [16640,16740] parent=MethodDeclaration [16640,16818] at=0/>', '<insert-tree tree=Javadoc [16824,16872] parent=MethodDeclaration [16824,17264] at=0/>', '<update-node tree=TextElement: number of arguments constants  [4622,4652] label=constant that specifies the number of argument values has not been specified />', '<update-node tree=TextElement: ??  [4846,4849] label=the list of argument values />', '<move-tree tree=ParenthesizedExpression [5891,5934] parent=ReturnStatement [6998,7062] at=0/>', '<move-tree tree=MethodInvocation [6069,6092] parent=ReturnStatement [7314,7345] at=0/>', '<update-node tree=TextElement: Creates an Option using the specified parameters. [7083,7132] label=&lt;p&gt;Creates an Option using the specified parameters.&lt;/p&gt;/>', '<update-node tree=TextElement: &lt;p&gt;Retrieve the name of this Option&lt;/p&gt; [7791,7830] label=&lt;p&gt;Retrieve the name of this Option.&lt;/p&gt;/>', '<update-node tree=TextElement: &lt;p&gt;It is this character which can be used with [7845,7891] label=&lt;p&gt;It is this String which can be used with/>', '<update-node tree=TextElement: &lt;p&gt;Retrieve the type of this Option&lt;/p&gt; [8176,8215] label=&lt;p&gt;Retrieve the type of this Option.&lt;/p&gt;/>', '<update-node tree=TextElement: &lt;p&gt;Retrieve the long name of this Option&lt;/p&gt; [8420,8464] label=&lt;p&gt;Retrieve the long name of this Option.&lt;/p&gt;/>', '<update-node tree=TextElement: Sets whether this Option can have an optional argument. [8725,8780] label=&lt;p&gt;Sets whether this Option can have an optional argument.&lt;/p&gt;/>', '<update-node tree=TextElement: Adds the specified value to this Option [11908,11947] label=&lt;p&gt;Adds the specified value to this Option.&lt;/p&gt;/>', '<update-node tree=TextElement: null if there are no values. [13360,13388] label=&lt;code&gt;null&lt;/code&gt; if there are no values./>', '<update-node tree=TextElement: null if there are no values. [13580,13608] label=&lt;code&gt;null&lt;/code&gt; if there are no values./>', '<update-node tree=TextElement:  the values of this Option or null if there are no [14099,14149] label= the values of this Option as a String array />', '<update-node tree=TextElement: values [14157,14163] label=or null if there are no values/>', '<insert-node tree=VariableDeclarationStatement [6100,6126] parent=Block [6086,6354] at=0/>', '<insert-node tree=PrimitiveType: char [6100,6104] parent=VariableDeclarationStatement [6100,6126] at=0/>', '<insert-node tree=VariableDeclarationFragment [6105,6125] parent=VariableDeclarationStatement [6100,6126] at=1/>', '<insert-node tree=InfixExpression [7007,7035] parent=InfixExpression [7007,7047] at=0/>', '<insert-node tree=SimpleName: ch [6105,6107] parent=VariableDeclarationFragment [6105,6125] at=0/>', '<move-tree tree=MethodInvocation [5471,5486] parent=VariableDeclarationFragment [6105,6125] at=1/>', '<insert-node tree=SimpleName: ch [6341,6343] parent=Assignment [6336,6343] at=2/>', '<move-tree tree=MethodInvocation [5893,5909] parent=InfixExpression [7007,7035] at=0/>', '<insert-node tree=INFIX_EXPRESSION_OPERATOR: || [7024,7026] parent=InfixExpression [7007,7035] at=1/>', '<insert-tree tree=InfixExpression [7027,7035] parent=InfixExpression [7007,7035] at=2/>', '<insert-node tree=SimpleName: ch [6157,6159] parent=METHOD_INVOCATION_ARGUMENTS [6157,6159] at=0/>', '<insert-node tree=SimpleName: ch [6298,6300] parent=InfixExpression [6218,6306] at=2/>', '<delete-node tree=NullLiteral [3975,3979]/>', '<delete-node tree=NullLiteral [4080,4084]/>', '<delete-node tree=BooleanLiteral: false [4200,4205]/>', '<delete-node tree=NullLiteral [4283,4287]/>', '<delete-node tree=BooleanLiteral: false [4404,4409]/>', '<delete-tree tree=FieldDeclaration [4416,4452]/>', '<delete-node tree=NullLiteral [4828,4832]/>', '<delete-tree tree=MethodInvocation [5261,5276]/>', '<delete-tree tree=MethodInvocation [5415,5430]/>', '<delete-node tree=PREFIX_EXPRESSION_OPERATOR: ! [5889,5890]/>', '<delete-node tree=PrefixExpression [5889,5934]/>', '<delete-tree tree=Block [5937,5974]/>', '<delete-node tree=IfStatement [5884,5974]/>', '<delete-node tree=BooleanLiteral: true [5990,5994]/>', '<delete-node tree=PREFIX_EXPRESSION_OPERATOR: ! [6065,6066]/>', '<delete-node tree=ParenthesizedExpression [6067,6094]/>', '<delete-node tree=PrefixExpression [6065,6094]/>', '<delete-tree tree=Block [6097,6134]/>', '<delete-node tree=IfStatement [6060,6134]/>', '<delete-node tree=BooleanLiteral: true [6150,6154]/>', '<delete-node tree=Modifier: private [10748,10755]/>', '<delete-node tree=PrimitiveType: char [10756,10760]/>', '<delete-node tree=FieldDeclaration [10748,10770]/>']","0.818293",,,,,,,,,,
"4",,"11","Java","apache-commons-cli","04490af06faa8fd1be15da88172beb32218dd336","OptionBuilder.java","303","313","1","0","1","0","0","['<insert-tree tree=MethodDeclaration [9858,10083] parent=TypeDeclaration [2928,10085] at=28/>']","0.773003",,,,,,,,,,
"5","1013","11","Java","apache-commons-cli","08a1eabc26336b225cfadd3f90b2582dd2c50500","PosixParser.java","193","193","9","3","4","2","0","['<insert-node tree=METHOD_INVOCATION_ARGUMENTS [6137,6172] parent=MethodInvocation [6118,6174] at=2/>', '<insert-node tree=MethodInvocation [6137,6172] parent=METHOD_INVOCATION_ARGUMENTS [6137,6172] at=0/>', '<insert-tree tree=METHOD_INVOCATION_RECEIVER [6137,6143] parent=MethodInvocation [6137,6172] at=0/>', '<insert-node tree=SimpleName: valueOf [6144,6151] parent=MethodInvocation [6137,6172] at=1/>', '<move-tree tree=METHOD_INVOCATION_ARGUMENTS [6137,6159] parent=MethodInvocation [6137,6172] at=2/>', '<move-tree tree=MethodInvocation [6142,6159] parent=METHOD_INVOCATION_ARGUMENTS [6153,6170] at=0/>', '<delete-node tree=StringLiteral: &quot;&quot; [6137,6139]/>', '<delete-node tree=INFIX_EXPRESSION_OPERATOR: + [6140,6141]/>', '<delete-node tree=InfixExpression [6137,6159]/>']","0.748627","0.745437","0.76343","0.795841","0.740662","0.775856","0.738862","0.726671","0.73168","0.722541","0.74305"
"6",,"11","Java","apache-commons-cli","094746596cb39b2bfbd1843233b7dd2009736c00","ApplicationTest.java","61","80","48","25","16","5","2","['<insert-tree tree=Javadoc [130,387] parent=TypeDeclaration [130,2698] at=0/>', '<insert-tree tree=Javadoc [610,637] parent=MethodDeclaration [610,2695] at=0/>', '<move-tree tree=ExpressionStatement [200,317] parent=Block [664,2695] at=0/>', '<insert-node tree=ExpressionStatement [1743,1825] parent=Block [664,2695] at=13/>', '<insert-node tree=MethodInvocation [1743,1824] parent=ExpressionStatement [1743,1825] at=0/>', '<move-tree tree=METHOD_INVOCATION_RECEIVER [1442,1449] parent=MethodInvocation [1743,1824] at=0/>', '<insert-node tree=SimpleName: addOption [1751,1760] parent=MethodInvocation [1743,1824] at=1/>', '<insert-tree tree=METHOD_INVOCATION_ARGUMENTS [1762,1822] parent=MethodInvocation [1743,1824] at=2/>', '<insert-node tree=VariableDeclarationStatement [2210,2254] parent=Block [2104,2576] at=1/>', '<insert-tree tree=ExpressionStatement [2267,2309] parent=Block [2104,2576] at=2/>', '<insert-tree tree=ExpressionStatement [2322,2366] parent=Block [2104,2576] at=3/>', '<insert-tree tree=ExpressionStatement [2521,2566] parent=Block [2104,2576] at=5/>', '<move-tree tree=ArrayType [1979,1987] parent=VariableDeclarationStatement [2210,2254] at=0/>', '<insert-node tree=VariableDeclarationFragment [2219,2253] parent=VariableDeclarationStatement [2210,2254] at=1/>', '<insert-node tree=StringLiteral: &quot;-Dproperty=value&quot; [2019,2037] parent=ArrayInitializer [1976,2089] at=2/>', '<insert-node tree=StringLiteral: &quot;-Dproperty1=value1&quot; [2039,2059] parent=ArrayInitializer [1976,2089] at=3/>', '<insert-node tree=StringLiteral: &quot;-projecthelp&quot; [2073,2087] parent=ArrayInitializer [1976,2089] at=4/>', '<insert-node tree=SimpleName: opts [2219,2223] parent=VariableDeclarationFragment [2219,2253] at=0/>', '<move-tree tree=MethodInvocation [2147,2173] parent=VariableDeclarationFragment [2219,2253] at=1/>', '<update-node tree=SimpleName: assertTrue [1770,1780] label=assertEquals/>', '<update-node tree=SimpleName: getOptionValue [2152,2166] label=getOptionValues/>', '<move-tree tree=MethodInvocation [1799,1833] parent=METHOD_INVOCATION_ARGUMENTS [2428,2476] at=0/>', '<insert-node tree=StringLiteral: &quot;mybuild.xml&quot; [2463,2476] parent=METHOD_INVOCATION_ARGUMENTS [2428,2476] at=1/>', '<delete-node tree=Modifier: static [183,189]/>', '<delete-node tree=Block [190,323]/>', '<delete-node tree=Initializer [183,323]/>', '<delete-node tree=SimpleName: addOption [1450,1459]/>', '<delete-tree tree=METHOD_INVOCATION_ARGUMENTS [1461,1502]/>', '<delete-node tree=MethodInvocation [1442,1504]/>', '<delete-node tree=ExpressionStatement [1442,1505]/>', '<delete-node tree=StringLiteral: &quot;mybuild.xml&quot; [1782,1795]/>', '<delete-node tree=INFIX_EXPRESSION_OPERATOR: == [1796,1798]/>', '<delete-node tree=InfixExpression [1782,1833]/>', '<delete-node tree=SimpleName: args [1968,1972]/>', '<delete-node tree=ASSIGNMENT_OPERATOR: = [1973,1974]/>', '<delete-tree tree=ArrayInitializer [1987,2046]/>', '<delete-node tree=ArrayCreation [1975,2046]/>', '<delete-node tree=Assignment [1968,2046]/>', '<delete-node tree=ExpressionStatement [1968,2047]/>', '<delete-tree tree=VariableDeclarationStatement [2079,2120]/>', '<delete-node tree=SimpleName: assertEquals [2133,2145]/>', '<delete-node tree=StringLiteral: &quot;property=value&quot; [2175,2191]/>', '<delete-node tree=METHOD_INVOCATION_ARGUMENTS [2147,2191]/>', '<delete-node tree=MethodInvocation [2133,2193]/>', '<delete-node tree=ExpressionStatement [2133,2194]/>', '<delete-node tree=Block [2065,2204]/>', '<delete-tree tree=CatchClause [2213,2316]/>', '<delete-node tree=TryStatement [2061,2316]/>']","0.949832",,,,,,,,,,
"7","1015","11","Java","apache-commons-cli","1060ee73965dc30d92afbad80525bd4cdabe9153","ApplicationTest.java","82","81","11","3","0","5","3","['<move-tree tree=MethodInvocation [1744,1963] parent=ExpressionStatement [1725,1916] at=0/>', '<move-tree tree=METHOD_INVOCATION_RECEIVER [1725,1732] parent=MethodInvocation [1725,1915] at=0/>', '<update-node tree=SimpleName: create [1950,1956] label=addOption/>', '<move-tree tree=METHOD_INVOCATION_ARGUMENTS [1744,1963] parent=MethodInvocation [1725,1915] at=3/>', '<move-tree tree=MethodInvocation [1744,1908] parent=METHOD_INVOCATION_ARGUMENTS [1744,1913] at=0/>', '<update-node tree=SimpleName: hasArgs [1899,1906] label=create/>', '<move-tree tree=METHOD_INVOCATION_ARGUMENTS [1958,1961] parent=MethodInvocation [1744,1913] at=2/>', '<update-node tree=SimpleName: hasArg [1849,1855] label=hasArgs/>', '<delete-node tree=METHOD_INVOCATION_RECEIVER [1744,1908]/>', '<delete-node tree=SimpleName: addOption [1733,1742]/>', '<delete-node tree=MethodInvocation [1725,1965]/>']","0.859197","0.708606","0.738994","0.73753","0.719045","0.739557","0.702325","0.69924","0.698899","0.701202","0.713826"
"8",,"11","Java","apache-commons-cli","1060ee73965dc30d92afbad80525bd4cdabe9153","CommandLine.java","230","275","18","0","14","1","3","['<insert-tree tree=MethodDeclaration [4216,4469] parent=TypeDeclaration [3041,9379] at=9/>', '<insert-tree tree=MethodDeclaration [4798,4992] parent=TypeDeclaration [3041,9379] at=11/>', '<insert-node tree=MethodDeclaration [5322,5640] parent=TypeDeclaration [3041,9379] at=13/>', '<insert-tree tree=MethodDeclaration [5987,6313] parent=TypeDeclaration [3041,9379] at=15/>', '<insert-tree tree=MethodDeclaration [6803,7245] parent=TypeDeclaration [3041,9379] at=17/>', '<insert-node tree=Javadoc [5322,5531] parent=MethodDeclaration [5322,5640] at=0/>', '<insert-node tree=Modifier: public [5536,5542] parent=MethodDeclaration [5322,5640] at=1/>', '<insert-tree tree=SimpleType [5543,5549] parent=MethodDeclaration [5322,5640] at=2/>', '<insert-node tree=SimpleName: getOptionValue [5550,5564] parent=MethodDeclaration [5322,5640] at=3/>', '<insert-tree tree=SingleVariableDeclaration [5566,5574] parent=MethodDeclaration [5322,5640] at=4/>', '<insert-tree tree=Block [5577,5640] parent=MethodDeclaration [5322,5640] at=5/>', '<move-tree tree=TagElement [5239,5291] parent=Javadoc [5322,5531] at=0/>', '<insert-tree tree=TagElement [5393,5436] parent=Javadoc [5322,5531] at=1/>', '<insert-tree tree=TagElement [5444,5523] parent=Javadoc [5322,5531] at=2/>', '<insert-tree tree=TagElement [6327,6378] parent=Javadoc [6323,6611] at=0/>', '<update-node tree=TextElement:  Short single-character name of the option [4044,4086] label= Short name of the option/>', '<update-node tree=TextElement:  Single-character name of the option [4968,5004] label= string name of the option/>', '<update-node tree=TextElement:  Short single-character name of the option [5316,5358] label= name of the option/>']","0.785128",,,,,,,,,,
"9","1017","11","Java","apache-commons-cli","1060ee73965dc30d92afbad80525bd4cdabe9153","GnuParser.java","284","319","15","1","10","4","0","['<insert-node tree=Block [8713,9456] parent=IfStatement [8671,9456] at=1/>', '<move-tree tree=ExpressionStatement [8051,8071] parent=Block [8713,9456] at=0/>', '<move-tree tree=ExpressionStatement [8084,8111] parent=Block [8713,9456] at=1/>', '<insert-tree tree=VariableDeclarationStatement [8800,8835] parent=Block [8713,9456] at=2/>', '<insert-node tree=IfStatement [8849,9446] parent=Block [8713,9456] at=3/>', '<insert-tree tree=InfixExpression [8853,8860] parent=IfStatement [8849,9446] at=0/>', '<insert-tree tree=Block [8863,9332] parent=IfStatement [8849,9446] at=1/>', '<move-tree tree=Block [8037,8156] parent=IfStatement [8849,9446] at=2/>', '<insert-tree tree=VariableDeclarationStatement [7331,7366] parent=Block [7313,8131] at=0/>', '<insert-node tree=IfStatement [7400,8117] parent=Block [7313,8131] at=1/>', '<insert-tree tree=InfixExpression [7404,7411] parent=IfStatement [7400,8117] at=0/>', '<insert-tree tree=Block [7414,7984] parent=IfStatement [7400,8117] at=1/>', '<move-tree tree=IfStatement [7331,7441] parent=IfStatement [7400,8117] at=2/>', '<insert-node tree=ReturnStatement [8092,8099] parent=Block [8033,8117] at=1/>', '<delete-node tree=BreakStatement [7417,7423]/>']","0.773628","0.753467","0.785803","0.772353","0.816297","0.764157","0.763637","0.758676","0.761284","0.754473","0.763897"
"10","1018","11","Java","apache-commons-cli","1060ee73965dc30d92afbad80525bd4cdabe9153","Option.java","395","416","4","0","4","0","0","['<insert-tree tree=FieldDeclaration [10170,10192] parent=TypeDeclaration [3226,12917] at=34/>', '<insert-tree tree=MethodDeclaration [10199,10279] parent=TypeDeclaration [3226,12917] at=35/>', '<insert-tree tree=MethodDeclaration [10286,10357] parent=TypeDeclaration [3226,12917] at=36/>', '<insert-tree tree=MethodDeclaration [12126,12401] parent=TypeDeclaration [3226,12917] at=41/>']","0.805433","0.764901","0.802906","0.829233","0.778096","0.771084","0.776929","0.766415","0.769203","0.766118","0.774006"
