"Id","ProjName","CommitSha","FileName","BDiffScoreA","GitScoreA","ldiffScoreA","GumTreeScoreA","GPTScoreA","QwenA","CommentA","BDiffScoreB","GitScoreB","ldiffScoreB","GumTreeScoreB","GPTScoreB","QwenB","CommentB","Type","nEdits"
"1","ansible","3ad9db496658bdde97bb7ac985eb8e80c1fb5fbf","runner.py","6","4","5","1","1","1","","6","4","6","1","1","1","","Block","12"
"2","apache-commons-cli","4cca25d72b216bfc8f2e75e4a99afb608ceb6df8","PatternOptionBuilderTest.java","6","6","6","6","6","1","","6","3","2","6","4","1","","Non-block","18"
"3","apache-commons-cli","4dcbfa673771c8fcd2477cf7dd122ef8fe8967b7","HelpFormatter.java","6","6","6","6","5","1","","6","4","4","6","4","1","","Non-block","14"
"4","apache-commons-cli","4fbf5978d9473a2504a554cbe53dc29c49dd67b5","PosixParser.java","6","6","6","5","4","1","","6","5","5","5","2","1","","Non-block","56"
"5","apache-commons-cli","66d0ae6216730abd8bd736e210be73229c8e807b","CommandLineParser.java","6","6","6","6","6","1","","6","4","4","5","4","1","","Non-block","22"
"6","apache-commons-cli","f9df51847e354190206432ba87661586e6dc814d","CommandLine.java","6","6","6","6","6","1","","6","4","3","5","2","1","","Non-block","47"
"7","black","c26daa4fd50e2db13f38279ce27b51b0ae4479fe","black.py","6","4","6","5","1","1","","4","6","6","3","1","1","copy中的update识别有误","Block","27"
"8","django","dc2933f73b4a970d6b37241b6f185bbbacd1bb69","meta.py","6","6","2","6","1","1","","6","5","5","5","1","1","copy中的update识别有误","Block","17"
"9","drool","297a5ab55743e49187daf4f2b9cd1512e9d1d72c","AlphaNodeTest.java","6","6","4","5","6","1","","6","5","5","5","5","1","","Block","119"
"10","drool","297a5ab55743e49187daf4f2b9cd1512e9d1d72c","JoinNodeTest.java","6","6","6","6","6","1","","6","4","5","4","2","1","Bdiff变更12只匹配了两个参数，不够完整；另外感觉这个案例bdiff标的有的乱了","Block","217"
"11","drool","297a5ab55743e49187daf4f2b9cd1512e9d1d72c","RightInputAdapterNode.java","6","6","6","6","6","6","","6","6","6","6","6","1","","Non-block","12"
"12","drool","33fb67760ec1f2a470b472e849ec67202a0dee36","BetaNode.java","6","6","6","6","5","1","","6","3","3","6","6","1","","Non-block","2"
"13","drool","33fb67760ec1f2a470b472e849ec67202a0dee36","BetaNodeBinder.java","6","6","6","6","5","1","","6","4","5","3","2","1","","Block","95"
"14","drool","33fb67760ec1f2a470b472e849ec67202a0dee36","JoinNodeTest.java","6","6","6","6","3","1","","4","2","3","6","6","1","Bdiff的行级别change的匹配截断有些问题，在词中间","Non-block","10"
"15","drool","5bb719f6dfb992dc029f5bfc484c8008fd64ffef","IntegrationException.java","6","6","6","2","6","1","","6","5","5","3","2","1","","Non-block","16"
"16","drool","5bb719f6dfb992dc029f5bfc484c8008fd64ffef","RandomConflictResolver.java","6","6","6","6","6","1","qwen3-32b-drool-5bb719f6dfb992dc029f5bfc484c8008fd64ffef-RandomConflictResolver.java.html页面没有识别出变更","6","5","5","3","2","1","","Non-block","26"
"17","elastic-search","1d732dfc1b08deca0f20b467fe4c66f041bb37b5","JsonSettingsLoader.java","6","6","6","6","6","1","","6","6","6","6","6","1",,"Non-block","3"
"18","elastic-search","5ac51ee93feab6c75fcbe979b9bb338962622c2e","NettyHttpServerTransport.java","5","6","6","6","6","1","qwen没有识别出变更","6","6","6","6","2","1","","Non-block","13"
"19","elastic-search","9e8b5e50607b759dba4ce3d4d9104b6539d370df","BoolJsonFilterParser.java","6","6","6","6","6","1","","6","5","5","5","2","1","","Block","14"
"20","elastic-search","c92b3422164ee2da4747c6dac0cf9921f4219060","SettingsLoaderFactory.java","6","6","6","6","6","1","","6","6","6","6","6","1","","Non-block","9"
"21","google-guava","a194b64f31a7453a9be7e4573b2d92afab3aa37e","AbstractFuture.java","5","6","6","6","6","1","","6","6","6","6","6","1","","Non-block","1"
"22","google-guava","a194b64f31a7453a9be7e4573b2d92afab3aa37e","InputSupplier.java","6","6","6","6","6","6","","6","6","6","6","6","1","","Non-block","1"
"23","google-guava","bbab2ce3c162b244119bdc22a990d7b75fdef0af","AbstractMultiset.java","6","5","6","6","6","3","","6","2","6","6","6","1","","Block","8"
"24","google-guava","bbab2ce3c162b244119bdc22a990d7b75fdef0af","ArrayListMultimap.java","6","6","6","6","6","1","","4","4","6","5","2","1","ldiff、gumtree识别到了一处mov，但是bdiff和git识别为增删","Non-block","4"
"25","google-guava","bbab2ce3c162b244119bdc22a990d7b75fdef0af","FinalizableSoftReference.java","6","6","6","6","6","1","","6","6","6","6","6","1","","Non-block","1"
"26","google-guava","bbab2ce3c162b244119bdc22a990d7b75fdef0af","Functions.java","6","6","6","6","2","1","","6","6","6","6","6","1","","Non-block","1"
"27","google-guava","bbab2ce3c162b244119bdc22a990d7b75fdef0af","HashBiMap.java","6","6","6","6","6","1","","6","6","6","6","6","1","","Non-block","1"
"28","google-guava","bbab2ce3c162b244119bdc22a990d7b75fdef0af","HashMultimap.java","6","6","6","6","1","1","","6","6","6","6","6","1","","Non-block","1"
"29","google-guava","bbab2ce3c162b244119bdc22a990d7b75fdef0af","ImmutableMap.java","6","6","6","6","6","1","","6","6","6","6","6","1","","Non-block","1"
"30","google-guava","bbab2ce3c162b244119bdc22a990d7b75fdef0af","ImmutableMultimap.java","6","6","6","6","6","6","","6","6","6","6","6","1","","Non-block","1"
"31","h2","7365295ea3a5d81967952c3cfbeb19e5f3674828","SessionRemote.java","6","6","6","6","6","1","","6","2","6","6","6","1","","Non-block","4"
"32","h2","87f1f35cd4143d753f12f485c4a1234b8d1ffce8","BtreeIndex.java","6","6","6","5","6","1","","6","6","6","6","6","1","","Non-block","2"
"33","h2","87f1f35cd4143d753f12f485c4a1234b8d1ffce8","BtreeLeaf.java","6","6","3","1","4","1","","5","5","6","2","5","1","BDiff识别有误","Non-block","7"
"34","h2","87f1f35cd4143d753f12f485c4a1234b8d1ffce8","JdbcConnection.java","5","6","3","1","2","1","","6","4","5","3","2","1","","Block","87"
"35","h2","87f1f35cd4143d753f12f485c4a1234b8d1ffce8","JdbcStatement.java","6","5","6","6","4","2","","6","4","6","4","4","1","关于Bdiff判断块复制的条件有点弱（行数少、不是完整语句块、其中还包含了变更），改为行增加即可","Block","23"
"36","h2","ccae0ef2b0fdb235aa30bb0fb743c987f2238c33","FileUtils.java","6","6","6","1","5","1","","6","6","6","2","3","1","","Non-block","8"
"37","h2","ccae0ef2b0fdb235aa30bb0fb743c987f2238c33","NoOperation.java","6","5","5","5","5","3","","6","5","5","5","5","1","","Block","4"
"38","h2","ccae0ef2b0fdb235aa30bb0fb743c987f2238c33","Prepared.java","6","6","5","6","6","5","","6","5","5","5","5","1","","Block","4"
"39","jabref","2a4542433530341c9235e5de3511543415ef17eb","GUIGlobals.java","6","5","6","6","6","1","","6","3","4","2","5","1","","Non-block","2"
"40","jabref","920355c073f2a5e297da4a0c2fa1de358b692434","JabRefPreferences.java","6","6","6","6","5","3","","6","4","6","4","2","1","","Non-block","100"
"41","jabref","a3111c73a76fca8b81f88243a5366e1a4d2ef708","BasePanel.java","6","5","4","5","3","2","","6","5","5","5","5","1","","Block","47"
"42","jabref","a3111c73a76fca8b81f88243a5366e1a4d2ef708","JabRefFrame.java","6","6","6","5","5","2","","6","5","5","5","2","1","","block","9"
"43","jabref","fab52f3ad72c18d645d99342da53e024dee9cb86","DatabaseSearch.java","6","5","6","5","4","2","","6","3","5","4","3","1","","Non-block","16"
"44","keras","42007f55c4bca179f341ca416d3436b4fa68dd67","setup.py","6","6","6","6","6","4","","6","4","5","2","3","1","","Block","21"
"45","keras","aa7f9cdae951bba824883cfa392224a292b284bb","core.py","6","6","6","6","6","1","","6","5","5","2","5","1","","Block","33"
"46","keras","bf43f611a04448d15a9174cbd79804cd5605e4f0","reuters.py","6","6","6","6","4","3","","6","4","5","2","3","1","bdiff update匹配在单词中间，略微影响阅读","Block","13"
"47","killbill","52cfccd37350a3e4570d424addeeee6ec59f8ea4","SubscriptionTransition.java","6","6","5","6","6","3","","6","3","4","3","6","1","同上，bdiff的update匹配问题","Block","31"
"48","magisk","fc5c9647d829cad1b73338e42164decc4ab08a54","drawer.xml","6","6","6","6","6","2","","6","5","5","5","5","1","","Block","5"
