"Id","DiffId","ProjId","Language","ProjName","CommitSha","FileName","FileLengthBefore","FileLengthAfter","nDeletes","nInserts","nEdits","EditScript","RunTime1","RunTime2","RunTime3","RunTime4","RunTime5","RunTime6","RunTime7","RunTime8","RunTime9","RunTime10","RunTime"
"4543","1","21","XML","arthas","0583674677e16481eb5a4d99ec682579696998ea","pom.xml","40","43","1","4","5","['@@ -7 +7 @@', '@@ -12,0 +13,3 @@']","0.0595403","0.118541","0.0690275","0.051208","0.0477261","0.0481861","0.0560122","0.0476614","0.0494097","0.0468505","0.0503088"
"4544","2","21","XML","arthas","08e3c65ad1d9978e2e6ca23c965ded23be085947","pom.xml","67","67","1","1","2","['@@ -7 +7 @@']","0.0626268","0.0594233","0.0539975","0.0563704","0.181903","0.0524775","0.0519588","0.051285","0.0493063","0.0517143","0.0532375"
"4545","3","21","XML","arthas","0ae53869be901e2535f510111631c57d20c76572","pom.xml","65","70","0","5","5","['@@ -54,0 +55,5 @@']","0.0603007","0.0544858","0.0598873","0.0492295","0.0468057","0.0485543","0.0525607","0.0480635","0.0517971","0.0458847","0.0505133"
"4546","4","21","XML","arthas","0f17a4563343c2cc06264cb31f8da9aa1e1eae31","pom.xml","72","72","1","1","2","['@@ -7 +7 @@']","0.0654758","0.0480048","0.0552216","0.0540906","0.0549157","0.0512795","0.0536283","0.0520426","0.047136","0.0470911","0.0528354"
"4547","5","21","XML","arthas","180ee6beb51aaf9540abc45dd2264651de996772","pom.xml","246","246","1","1","2","['@@ -90 +90 @@']","0.0702355","0.0532658","0.0547279","0.0499665","0.047817","0.04692","0.0508993","0.047027","0.0572522","0.0501299","0.0505146"
"4548","6","21","XML","arthas","18cae0546929cb61c1efa766a94038539d1275e9","pom.xml","72","102","21","51","72","['@@ -2 +2,3 @@', '@@ -7 +9 @@', '@@ -12,0 +15,4 @@', '@@ -19,0 +26,21 @@', '@@ -39,0 +67 @@', '@@ -41,2 +69 @@', '@@ -44,0 +72 @@', '@@ -46 +74 @@', '@@ -48 +75,0 @@', '@@ -50,15 +77,17 @@', '@@ -68,0 +98 @@']","0.887682","0.0540384","0.0478281","0.0574489","0.0527135","0.0505959","0.054327","0.0543172","0.0572749","0.0474173","0.0541778"
"4549","7","21","XML","arthas","1c07b1b360519d0cbe3d838a550971faf5d8e891","pom.xml","220","220","2","2","4","['@@ -50 +50 @@', '@@ -199 +199 @@']","0.0622605","0.0517213","0.0537647","0.0499969","0.0487976","0.0484726","0.0543132","0.0472328","0.0599605","0.0485431","0.0508591"
"4550","8","21","XML","arthas","1faf2371314446cdcad21127aa608d140c90c08f","pom.xml","136","138","6","8","14","['@@ -74,6 +73,0 @@', '@@ -127,0 +122 @@', '@@ -133,0 +129,7 @@']","0.0605973","0.0529027","0.0496609","0.0535983","0.0539047","0.0536269","0.0471848","0.0508086","0.0521877","0.0496011","0.0525452"
"4551","9","21","XML","arthas","23bec4076918e0c5313e7b4a9726c68a1d88e2a4","assembly.xml","67","67","1","1","2","['@@ -59 +59 @@']","0.0587342","0.0493081","0.0514145","0.0495184","0.0516561","0.0468066","0.0494734","0.0520027","0.0523246","0.048507","0.0504665"
"4552","10","21","XML","arthas","23bec4076918e0c5313e7b4a9726c68a1d88e2a4","pom.xml","64","91","15","42","57","['@@ -21,0 +22,19 @@', '@@ -35,0 +55 @@', '@@ -37,2 +57 @@', '@@ -40,0 +60 @@', '@@ -42 +62 @@', '@@ -44 +63,0 @@', '@@ -46,11 +65,18 @@', '@@ -60,0 +87 @@']","0.0669322","0.0486156","0.0507235","0.0536602","0.0525654","0.0559742","0.0489798","0.046929","0.0527877","0.0471027","0.0516444"
