"Id","DiffId","Language","ProjId","ProjName","CommitSha","CommitMessage","FileName","FileLengthBefore","FileLengthAfter","nEdits","nDeletes","nInserts","EditScript","nCopies","nMoves","nUpdates","nCUpdates","nMUpdates","nSplits","nMerges","RunTime"
"2981","2008","Python","1","ansible","01e5da6d0be9b818f0ae5582b139d886ead09544",,"scripts.py",,,"1","0","1","[{'mode': 'insert', 'dest_line': 10, 'src_line': 10, 'edit_action': 'Insert line 10.'}]","0","0","0","0","0","0","0","90.0796"
"2982","2010","Python","1","ansible","0321afb1e3c1802eb12f7107f68d3b6a00ea2cf2",,"setup.py",,,"1","0","1","[{'mode': 'insert', 'dest_line': 29, 'edit_action': 'Insert line 29.'}]","0","0","0","0","0","0","0","44.479"
"2983","2011","Python","1","ansible","035692563924d57fa537a84e294999d8e07cb105",,"setup.py",,,"2","0","1","[{'mode': 'update', 'src_line': 37, 'dest_line': 37, 'str_diff': [[[0, 11]], [[0, 17]]], 'indent_offset': 0, 'edit_action': 'Update line 37 to line 37.'}, {'mode': 'insert', 'dest_line': 38, 'edit_action': 'Insert line 38.'}]","0","0","1","0","0","0","0","149.285"
"2984","2012","Python","1","ansible","08b45d6da1d546fa64db076da58c56ea496685ae",,"__init__.py",,,"4","0","2","[{'mode': 'insert', 'dest_line': 15, 'src_line': 15, 'edit_action': 'Insert line 15.'}, {'mode': 'update', 'src_line': 29, 'dest_line': 29, 'indent_offset': 0, 'str_diff': [[[85, 85]], [[85, 113]]], 'edit_action': 'Update line 29 to line 29.'}, {'mode': 'insert', 'dest_line': 40, 'src_line': 40, 'edit_action': 'Insert line 40.'}, {'mode': 'update', 'src_line': 65, 'dest_line': 65, 'indent_offset': 0, 'str_diff': [[[93, 93]], [[93, 121]]], 'edit_action': 'Update line 65 to line 65.'}]","0","0","2","0","0","0","0","156.174"
"2985","2013","Python","1","ansible","0d7a84d591b01c6afdda80424c3a42e5431dc882",,"playbook.py",,,"8","1","1","[{'mode': 'insert', 'dest_line': 6, 'edit_action': 'Insert line 6.'}, {'mode': 'move', 'move_type': 'd', 'src_line': 75, 'dest_line': 46, 'block_length': 5, 'indent_offset': 4, 'updates': [], 'edit_action': 'Move a 5-line block from line 75 to line 46 with moving right 4 whitespaces.'}, {'mode': 'move', 'move_type': 'd', 'src_line': 80, 'dest_line': 51, 'block_length': 7, 'indent_offset': 4, 'updates': [], 'edit_action': 'Move a 7-line block from line 80 to line 51 with moving right 4 whitespaces.'}, {'mode': 'delete', 'src_line': 87, 'dest_line': 87, 'edit_action': 'Delete line 87.'}, {'mode': 'update', 'src_line': 85, 'dest_line': 85, 'str_diff': [[[18, 55], [18, 45]], [[18, 55], [18, 45]]], 'indent_offset': 0, 'edit_action': 'Update line 85 to line 85.'}, {'mode': 'update', 'src_line': 90, 'dest_line': 90, 'str_diff': [[[18, 55], [18, 45]], [[18, 55], [18, 45]]], 'indent_offset': 0, 'edit_action': 'Update line 90 to line 90.'}, {'mode': 'update', 'src_line': 92, 'dest_line': 92, 'str_diff': [[[18, 55], [18, 45]], [[18, 55], [18, 45]]], 'indent_offset': 0, 'edit_action': 'Update line 92 to line 92.'}, {'mode': 'update', 'src_line': 120, 'dest_line': 120, 'str_diff': [[[18, 55], [18, 45]], [[18, 55], [18, 45]]], 'indent_offset': 0, 'edit_action': 'Update line 120 to line 120.'}]","0","2","4","0","0","0","0","235.69"
"2986","2014","Python","1","ansible","0d7a84d591b01c6afdda80424c3a42e5431dc882",,"utils.py",,,"5","0","1","[{'mode': 'insert', 'dest_line': 15, 'src_line': 14, 'edit_action': 'Insert line 15.'}, {'mode': 'update', 'src_line': 15, 'dest_line': 16, 'str_diff': [[[0, 1]], [[0, 0]]], 'indent_offset': 0, 'edit_action': 'Update line 15 to line 16.'}, {'mode': 'update', 'src_line': 17, 'dest_line': 18, 'str_diff': [[[0, 1]], [[0, 0]]], 'indent_offset': 0, 'edit_action': 'Update line 17 to line 18.'}, {'mode': 'update', 'src_line': 20, 'dest_line': 21, 'str_diff': [[[18, 19]], [[18, 18]]], 'indent_offset': 0, 'edit_action': 'Update line 20 to line 21.'}, {'mode': 'update', 'src_line': 22, 'dest_line': 23, 'str_diff': [[[18, 19]], [[18, 18]]], 'indent_offset': 0, 'edit_action': 'Update line 22 to line 23.'}]","0","0","4","0","0","0","0","158.864"
"2987","2015","Python","1","ansible","11f79300385b40cc19106837a75dc412e9693857",,"__init__.py",,,"3","3","0","[{'mode': 'delete', 'src_line': 5, 'dest_line': 4, 'edit_action': 'Delete line 5.'}, {'mode': 'delete', 'src_line': 9, 'dest_line': 7, 'edit_action': 'Delete line 9.'}, {'mode': 'delete', 'src_line': 29, 'dest_line': 28, 'edit_action': 'Delete line 29.'}]","0","0","0","0","0","0","0","151.871"
"2988","2016","Python","1","ansible","145a024d7b4729b361aeb54d178081e3f087bdc3",,"__init__.py",,,"16","9","7","[{'mode': 'delete', 'src_line': 1, 'edit_action': 'Delete line 1.'}, {'mode': 'delete', 'src_line': 2, 'edit_action': 'Delete line 2.'}, {'mode': 'insert', 'dest_line': 7, 'edit_action': 'Insert line 7.'}, {'mode': 'delete', 'src_line': 10, 'block_length': 8, 'edit_action': 'Delete line 10.'}, {'mode': 'delete', 'src_line': 18, 'block_length': 8, 'edit_action': 'Delete line 18.'}, {'mode': 'delete', 'src_line': 26, 'block_length': 8, 'edit_action': 'Delete line 26.'}, {'mode': 'delete', 'src_line': 34, 'block_length': 8, 'edit_action': 'Delete line 34.'}, {'mode': 'delete', 'src_line': 42, 'block_length': 4, 'edit_action': 'Delete line 42.'}, {'mode': 'delete', 'src_line': 70, 'block_length': 8, 'edit_action': 'Delete line 70.'}, {'mode': 'delete', 'src_line': 78, 'block_length': 5, 'edit_action': 'Delete line 78.'}, {'mode': 'insert', 'dest_line': 70, 'edit_action': 'Insert line 70.'}, {'mode': 'insert', 'dest_line': 71, 'edit_action': 'Insert line 71.'}, {'mode': 'insert', 'dest_line': 72, 'edit_action': 'Insert line 72.'}, {'mode': 'insert', 'dest_line': 73, 'edit_action': 'Insert line 73.'}, {'mode': 'insert', 'dest_line': 74, 'edit_action': 'Insert line 74.'}, {'mode': 'insert', 'dest_line': 75, 'edit_action': 'Insert line 75.'}]","0","0","0","0","0","0","0","212.741"
"2989","2017","Python","1","ansible","160470bc49cd47abe8ba42b04ee6bae8eb91d705",,"runner.py",,,"7","0","4","[{'mode': 'update', 'src_line': 30, 'dest_line': 30, 'str_diff': [[[0, 0]], [[0, 30]]], 'indent_offset': 0, 'edit_action': 'Update line 30 to line 30.'}, {'mode': 'insert', 'dest_line': 34, 'src_line': 34, 'edit_action': 'Insert line 34.'}, {'mode': 'update', 'src_line': 34, 'dest_line': 36, 'str_diff': [[[19, 33]], [[19, 27]]], 'indent_offset': 0, 'edit_action': 'Update line 34 to line 36.'}, {'mode': 'update', 'src_line': 150, 'dest_line': 154, 'str_diff': [[[0, 54]], [[0, 20]]], 'indent_offset': 0, 'edit_action': 'Update line 150 to line 154.'}, {'mode': 'insert', 'dest_line': 38, 'src_line': 38, 'edit_action': 'Insert line 38.'}, {'mode': 'insert', 'dest_line': 39, 'src_line': 39, 'edit_action': 'Insert line 39.'}, {'mode': 'insert', 'dest_line': 40, 'src_line': 40, 'edit_action': 'Insert line 40.'}]","0","0","3","0","0","0","0","231.251"
"2990","2018","Python","1","ansible","1a20b00d1f29d0079e81d2bbdd11a39ac9b18221",,"runner.py",,,"1","0","1","[{'mode': 'insert', 'dest_line': 108, 'edit_action': 'Insert line 108.'}]","0","0","0","0","0","0","0","120.826"
"2991","2019","Python","1","ansible","1caafb7bd92fea15af47d046f1e53504cef75b52",,"playbook.py",,,"5","0","5","[{'mode': 'insert', 'dest_line': 108, 'edit_action': 'Insert line 108.'}, {'mode': 'insert', 'dest_line': 109, 'edit_action': 'Insert line 109.'}, {'mode': 'insert', 'dest_line': 110, 'edit_action': 'Insert line 110.'}, {'mode': 'insert', 'dest_line': 111, 'edit_action': 'Insert line 111.'}, {'mode': 'insert', 'dest_line': 112, 'edit_action': 'Insert line 112.'}]","0","0","0","0","0","0","0","139.669"
"2992","2020","Python","1","ansible","1caafb7bd92fea15af47d046f1e53504cef75b52",,"runner.py",,,"3","0","0","[{'mode': 'update', 'src_line': 50, 'dest_line': 50, 'str_diff': [[[0, 11], [0, 13]], [[0, 11], [0, 13]]], 'indent_offset': 0, 'edit_action': 'Update line 50 to line 50.'}, {'mode': 'update', 'src_line': 51, 'dest_line': 51, 'str_diff': [[[0, 5], [0, 3]], [[0, 5], [0, 3]]], 'indent_offset': 0, 'edit_action': 'Update line 51 to line 51.'}, {'mode': 'update', 'src_line': 34, 'dest_line': 34, 'str_diff': [[[11, 19], [11, 17]], [[11, 19], [11, 17]]], 'indent_offset': 0, 'edit_action': 'Update line 34 to line 34.'}]","0","0","3","0","0","0","0","36.5605"
"2993","2021","Python","1","ansible","25df80ff58aae6ada66e5ca2e9fd21eb106dbe80",,"__init__.py",,,"5","0","4","[{'mode': 'insert', 'dest_line': 105, 'src_line': 105, 'edit_action': 'Insert line 105.'}, {'mode': 'insert', 'dest_line': 106, 'src_line': 106, 'edit_action': 'Insert line 106.'}, {'mode': 'insert', 'dest_line': 107, 'src_line': 107, 'edit_action': 'Insert line 107.'}, {'src_line': 113, 'dest_line': 113, 'mode': 'update', 'str_diff': [[[31, 41]], [[31, 55]]], 'indent_offset': 0, 'edit_action': 'Update line 113 to line 113.'}, {'mode': 'insert', 'dest_line': 122, 'src_line': 122, 'edit_action': 'Insert line 122.'}]","0","0","1","0","0","0","0","50.4764"
"2994","2022","Python","1","ansible","2773234c3fd8745e78ae8a8578e128cf9040d599",,"runner.py",,,"4","1","3","[{'mode': 'delete', 'src_line': 15, 'edit_action': 'Delete line 15.'}, {'mode': 'insert', 'dest_line': 7, 'edit_action': 'Insert line 7.'}, {'mode': 'insert', 'dest_line': 8, 'edit_action': 'Insert line 8.'}, {'mode': 'insert', 'dest_line': 9, 'edit_action': 'Insert line 9.'}]","0","0","0","0","0","0","0","80.6671"
"2995","2023","Python","1","ansible","281f96b8dd82335ed9f71b49797ce2816b88158b",,"setup.py",,,"1","1","0","[{'mode': 'delete', 'src_line': 30, 'edit_action': 'Delete line 30.'}]","0","0","0","0","0","0","0","8.84283"
